d (m),T (deg C),P (Pa),vg (m/s),vl (m/s),vapQ,density g (kg/m3),density l (kg/m3),visc g (Pa s),visc l (Pa s),Cp g (J/kg/K),Cp l (J/kg/K),liquid hold up,flow pattern
0,79.44,5515805.6,4.895329531605792,0.05134701749911732,0.8226974806477881,41.6468,799.2982,1e-08,0.002,,2000,0.09528332339673555,segregated
509.9999999999452,33.64313564380653,5503494.297499281,5.383304610054232,0.05087564369122422,0.8226974806477881,36.156386093634545,799.2982,1e-08,0.004245712017199476,,2000,0.08690092832566489,segregated
1019.9999999998224,15.64787235945417,5488815.657830961,5.614253388947169,0.050681159759078075,0.8226974806477881,33.94474955257726,799.2982,1e-08,0.007070707459517254,,2000,0.08339700105284006,segregated
1530.0000000002635,8.576875136701103,5472593.277908485,5.721029584954297,0.05059857556515626,0.8226974806477881,33.01574089412319,799.2982,1e-08,0.009373934481646086,,2000,0.0819009723807109,segregated
2040.0000000007092,5.798421666249629,5455486.913622589,5.774789176740727,0.0505603591817855,0.8226974806477881,32.58793714402616,799.2982,1e-08,0.01070023534506019,,2000,0.08120702113155794,segregated
2550.000000000036,4.706665660093567,5437929.965002626,5.807074622010608,0.05053958264066191,0.8226974806477881,32.35592438404367,799.2982,1e-08,0.011320574387358449,,2000,0.08082931045188635,segregated
3059.9999999993447,4.277674788136242,5420148.7513345955,5.830893583983176,0.05052562931170677,0.8226974806477881,32.20033168917855,799.2982,1e-08,0.011582846347597433,,2000,0.08057546916040904,segregated
3569.9999999986535,4.1091085817815145,5402244.570418393,5.8514649357812365,0.050514329786746776,0.8226974806477881,32.07446437108048,799.2982,1e-08,0.011688998059686652,,2000,0.08036980355069163,segregated
4079.9999999979623,4.042872753044228,5384259.273274768,5.870861552690538,0.050504048580487806,0.8226974806477881,31.96004400997799,799.2982,1e-08,0.011731202440209535,,2000,0.08018259266369511,segregated
4589.9999999972715,4.016846272984027,5366209.401823838,5.888535378040393,0.050483691779108365,0.8226974806477881,31.84991218033265,799.2982,1e-08,0.011747863254632831,,2000,0.07981168991061541,segregated
5099.9599999998645,4.006620001888319,5348373.87608865,5.901664101474307,0.050431419233889434,0.8226974806477881,31.742882222538174,799.2982,1e-08,0.011754421561721835,,2000,0.07885790780850956,segregated
5609.959999999173,4.002601240905858,5331579.058306012,5.919336135577691,0.0504225744464464,0.8226974806477881,31.642745247615863,799.2982,1e-08,0.011757000724184006,,2000,0.07869632728431561,segregated
6119.959999998482,4.001022122706981,5314729.244270102,5.937144055302776,0.05041371865621823,0.8226974806477881,31.542562433050954,799.2982,1e-08,0.011758014457760396,,2000,0.07853448895380775,segregated
6629.959999997791,4.00040162940148,5297824.357173001,5.955110356494971,0.05040483667377887,0.8226974806477881,31.44216266303607,799.2982,1e-08,0.011758412834983134,,2000,0.0783721148439469,segregated
7139.9599999971,4.000157814883704,5280864.054053072,5.9732455969752545,0.050395922317356664,0.8226974806477881,31.34147705155478,799.2982,1e-08,0.011758569378794851,,2000,0.07820909134761748,segregated
7649.959999996408,4.000062011240778,5263847.882154168,5.991555667596519,0.050386972932264726,0.8226974806477881,31.240476725495306,799.2982,1e-08,0.01175863089163922,,2000,0.0780453692318462,segregated
8159.959999995717,4.000024366484912,5246775.340395161,6.0100446592565495,0.050377987242432455,0.8226974806477881,31.139148453852787,799.2982,1e-08,0.011758655062448749,,2000,0.07788092442559288,segregated
8669.959999999288,4.000009574483264,5229645.903458079,6.028715994087449,0.05036896450813075,0.8226974806477881,31.037485101250724,799.2982,1e-08,0.01175866456006914,,2000,0.07771574264163751,segregated
9179.960000003144,4.000003762164715,5212459.031153375,6.04757287252336,0.05035990419571377,0.8226974806477881,30.93548188804915,799.2982,1e-08,0.011758668292035463,,2000,0.0775498133444639,segregated
9689.960000007,4.0000014782921385,5195214.171983817,17.061230505934187,0.12776911678320185,0.8226974806477881,30.833134924791395,799.2982,1e-08,0.011758669758462204,,2000,0.6364183756226874,segregated
10199.920000001512,4.000000580917616,4164560.781446026,10.316135868689706,0.06874718802345148,0.8226974806477881,24.71629846436331,799.2982,1e-08,0.011758670334647637,,2000,0.3242704994792772,segregated
10200,4.000000580832503,4164341.1934662466,,,0.8226974806477881,24.714995229193057,799.2982,1e-08,0.011758670334702294,,2000,,
