T (K),P (kPa),Vapor fract
474,715,1.0
480,715,1.0
486,715,1.0
492,715,1.0
498,715,1.0
504,715,1.0
510,715,1.0
516,715,1.0
522,715,1.0
528,715,1.0
534,715,1.0
540,715,1.0
546,715,1.0
552,715,1.0
558,715,1.0
564,715,1.0
570,715,1.0
576,715,1.0
582,715,1.0
588,715,1.0
594,715,1.0
270,834,1.0
276,834,1.0
282,834,1.0
288,834,1.0
294,834,1.0
300,834,1.0
306,834,1.0
312,834,1.0
318,834,1.0
324,834,1.0
330,834,1.0
336,834,1.0
342,834,1.0
348,834,1.0
354,834,1.0
360,834,1.0
366,834,1.0
372,834,1.0
378,834,1.0
384,834,1.0
390,834,1.0
396,834,1.0
402,834,1.0
408,834,1.0
414,834,1.0
420,834,1.0
426,834,1.0
432,834,1.0
438,834,1.0
444,834,1.0
450,834,1.0
456,834,1.0
462,834,1.0
468,834,1.0
474,834,1.0
480,834,1.0
486,834,1.0
492,834,1.0
498,834,1.0
504,834,1.0
510,834,1.0
516,834,1.0
522,834,1.0
528,834,1.0
534,834,1.0
540,834,1.0
546,834,1.0
552,834,1.0
558,834,1.0
564,834,1.0
570,834,1.0
576,834,1.0
582,834,1.0
588,834,1.0
594,834,1.0
270,953,1.0
276,953,1.0
282,953,1.0
288,953,1.0
294,953,1.0
300,953,1.0
306,953,1.0
312,953,1.0
318,953,1.0
324,953,1.0
330,953,1.0
336,953,1.0
342,953,1.0
348,953,1.0
354,953,1.0
360,953,1.0
366,953,1.0
372,953,1.0
378,953,1.0
384,953,1.0
390,953,1.0
396,953,1.0
402,953,1.0
408,953,1.0
414,953,1.0
420,953,1.0
426,953,1.0
432,953,1.0
438,953,1.0
444,953,1.0
450,953,1.0
456,953,1.0
462,953,1.0
468,953,1.0
474,953,1.0
480,953,1.0
486,953,1.0
492,953,1.0
498,953,1.0
504,953,1.0
510,953,1.0
516,953,1.0
522,953,1.0
528,953,1.0
534,953,1.0
540,953,1.0
546,953,1.0
552,953,1.0
558,953,1.0
564,953,1.0
570,953,1.0
576,953,1.0
582,953,1.0
588,953,1.0
594,953,1.0
276,1072,1.0
282,1072,1.0
288,1072,1.0
294,1072,1.0
300,1072,1.0
306,1072,1.0
312,1072,1.0
318,1072,1.0
324,1072,1.0
330,1072,1.0
336,1072,1.0
342,1072,1.0
348,1072,1.0
354,1072,1.0
360,1072,1.0
366,1072,1.0
372,1072,1.0
378,1072,1.0
384,1072,1.0
390,1072,1.0
396,1072,1.0
402,1072,1.0
408,1072,1.0
414,1072,1.0
420,1072,1.0
426,1072,1.0
432,1072,1.0
438,1072,1.0
444,1072,1.0
450,1072,1.0
456,1072,1.0
462,1072,1.0
468,1072,1.0
474,1072,1.0
480,1072,1.0
486,1072,1.0
492,1072,1.0
498,1072,1.0
504,1072,1.0
510,1072,1.0
516,1072,1.0
522,1072,1.0
528,1072,1.0
534,1072,1.0
540,1072,1.0
546,1072,1.0
552,1072,1.0
558,1072,1.0
564,1072,1.0
570,1072,1.0
576,1072,1.0
582,1072,1.0
588,1072,1.0
594,1072,1.0
276,1191,1.0
282,1191,1.0
288,1191,1.0
294,1191,1.0
300,1191,1.0
306,1191,1.0
312,1191,1.0
318,1191,1.0
324,1191,1.0
330,1191,1.0
336,1191,1.0
342,1191,1.0
348,1191,1.0
354,1191,1.0
360,1191,1.0
366,1191,1.0
372,1191,1.0
378,1191,1.0
384,1191,1.0
390,1191,1.0
396,1191,1.0
402,1191,1.0
408,1191,1.0
414,1191,1.0
420,1191,1.0
426,1191,1.0
432,1191,1.0
438,1191,1.0
444,1191,1.0
450,1191,1.0
456,1191,1.0
462,1191,1.0
468,1191,1.0
474,1191,1.0
480,1191,1.0
486,1191,1.0
492,1191,1.0
498,1191,1.0
504,1191,1.0
510,1191,1.0
516,1191,1.0
522,1191,1.0
528,1191,1.0
534,1191,1.0
