name,alt_name,t_c,p_c,v_c,acc,mm,hf,c1,c2,c3,c4,c5,eq,cg1,cg2,cg3,cg4,cg5,eqg
Succinic acid,,806,47.1,0.317,0.9922,,,,,,,,,,,,,,
Sulfur dioxide,SO2,430.75,78.84,0.122,0.2454,0.064,-296840,85743,5.7443,0,0,0,1,33375,25864,932.8,10880,423.7,1
Sulfur hexafluoride,SF6,318.69,37.6,0.19852,0.2151,0.146,-1220470,119500,0,0,0,0,1,35256,122700,679.38,78407,351.27,1
Sulfur trioxide,SO3,490.85,82.1,0.127,0.424,,,,,,,,,,,,,,
Terephthalic acid,,1113,39.5,0.424,1.0591,,,,,,,,,,,,,,
o-Terphenyl,,857,29.9,0.731,0.5513,,,,,,,,,,,,,,
Tetradecane,,693,15.7,0.897,0.643,,,,,,,,,,,,,,
Tetrahydrofuran,,540.15,51.9,0.224,0.2254,,,,,,,,,,,,,,
"1,2,3,4-Tetrahydronaphthalene",,720,36.5,0.408,0.3353,,,,,,,,,,,,,,
Tetrahydrothiophene,,631.95,51.6,0.249,0.1996,,,,,,,,,,,,,,
"2,2,3,3-Tetramethylbutane",,568,28.7,0.461,0.245,,,,,,,,,,,,,,
Thiophene,,579.35,56.9,0.219,0.197,,,,,,,,,,,,,,
Toluene,,591.75,41.08,0.316,0.264,0.092,50170,140140,-152.3,0.695,0,0,1,58140,286300,1440.6,189800,650.43,1
"1,1,2-Trichloroethane",,602,44.8,0.281,0.2591,,,,,,,,,,,,,,
Tridecane,,675,16.8,0.826,0.6174,,,,,,,,,,,,,,
Triethyl amine,,535.15,30.4,0.39,0.3162,,,,,,,,,,,,,,
Trimethyl amine,,433.25,40.7,0.254,0.2062,,,,,,,,,,,,,,
"1,2,3-Trimethylbenzene",,664.5,34.54,0.414,0.3666,,,,,,,,,,,,,,
"1,2,4-Trimethylbenzene",,649.1,32.32,0.43,0.3787,,,,,,,,,,,,,,
"2,2,4-Trimethylpentane",,543.8,25.7,0.468,0.3035,,,,,,,,,,,,,,
"2,3,3-Trimethylpentane",,573.5,28.2,0.455,0.2903,,,,,,,,,,,,,,
"1,3,5-Trinitrobenzene",,846,33.9,0.479,0.8623,,,,,,,,,,,,,,
"2,4,6-Trinitrotoluene",,828,30.4,0.572,0.8972,,,,,,,,,,,,,,
Undecane,,639,19.5,0.685,0.5303,,,,,,,,,,,,,,
1-Undecanol,,703.9,21.19,0.715,0.6236,,,,,,,,,,,,,,
Vinyl acetate,,519.13,39.58,0.27,0.3513,,,,,,,,,,,,,,
Vinyl acetylene,,454,48.6,0.205,0.1069,,,,,,,,,,,,,,
Vinyl chloride,,432,56.7,0.179,0.1001,,,,,,,,,,,,,,
Vinyl trichlorosilane,,543.15,30.6,0.408,0.2815,,,,,,,,,,,,,,
Water,H2O,647.096,220.64,0.0559472,0.3449,0.018,-241814,276370,-2090.1,8.125,-0.014116,9.3701E-06,1,33363,26790,2610.5,8896,1169,1
m-Xylene,,617,35.41,0.375,0.3265,,,,,,,,,,,,,,
o-Xylene,,630.3,37.32,0.37,0.3101,,,,,,,,,,,,,,
p-Xylene,,616.2,35.11,0.378,0.3218,,,,,,,,,,,,,,
