name,alt_name,t_c,p_c,v_c,acc,mm,hf,c1,c2,c3,c4,c5,eq,cg1,cg2,cg3,cg4,cg5,eqg
1-Hexyne,,516.2,36.2,0.322,0.3327,,,,,,,,,,,,,,
2-Hexyne,,549,35.3,0.331,0.2214,,,,,,,,,,,,,,
Hydrazine,N2H4,653.15,147,0.158,0.3143,0.032,95353,79815,51.929,0.043379,0,0,1,38711,85760,1722.8,56635,733.53,1
Hydrogen,H2,33.19,13.13,0.064147,-0.216,0.002,0,66.653,6765.9,-123.63,478.27,0,2,27617,9560,2466,3760,567.6,1
Hydrogen bromide,HBr,363.15,85.52,0.1,0.0734,,,,,,,,,,,,,,
Hydrogen chloride,HCl,324.65,83.1,0.081,0.1315,,,,,,,,,,,,,,
Hydrogen cyanide,HCN,456.65,53.9,0.139,0.4099,,,,,,,,,,,,,,
Hydrogen fluoride,HF,461.15,64.8,0.069,0.3823,,,,,,,,,,,,,,
Hydrogen sulfide,H2S,373.53,89.63,0.0985,0.0942,,,,,,,,,,,,,,
Isobutyric acid,,605,37,0.292,0.6141,,,,,,,,,,,,,,
Isopropyl amine,,471.85,45.4,0.221,0.2759,,,,,,,,,,,,,,
Malonic acid,,805,56.4,0.258,0.9418,,,,,,,,,,,,,,
Methacrylic acid,,662,47.9,0.28,0.3318,,,,,,,,,,,,,,
Methane,CH4,190.564,45.99,0.0986,0.0115,0.016,-74520,65.708,38883,-257.95,614.07,0,2,33298,79933,2086.9,41602,991.96,1
Methanol,CH3OH,512.5,80.84,0.117,0.5658,0.032,-200940,105800,-362.23,0.9379,0,0,1,39252,87900,1916.5,53654,896.7,1
N-Methyl acetamide,,718,49.8,0.267,0.4351,,,,,,,,,,,,,,
Methyl acetate,,506.55,47.5,0.228,0.3313,,,,,,,,,,,,,,
Methyl acetylene,,402.4,56.3,0.164,0.2115,,,,,,,,,,,,,,
Methyl acrylate,,536,42.5,0.27,0.3423,,,,,,,,,,,,,,
Methyl amine,,430.05,74.6,0.154,0.2814,,,,,,,,,,,,,,
Methyl benzoate,,693,35.9,0.436,0.4205,,,,,,,,,,,,,,
"3-Methyl-1,2-butadiene",,490,38.3,0.291,0.1874,,,,,,,,,,,,,,
2-Methylbutane,"C5H12,i-pentane,isopentane",460.4,33.8,0.306,0.2279,0.072,-153700,108300,146,-0.292,0.00151,0,1,74600,326500,1545,192300,666.7,1
2-Methylbutanoic acid,,643,38.9,0.347,0.5894,,,,,,,,,,,,,,
3-Methyl-1-butanol,,577.2,39.3,0.329,0.5939,,,,,,,,,,,,,,
2-Methyl-1-butene,,465,34.47,0.292,0.2341,,,,,,,,,,,,,,
2-Methyl-2-butene,,470,34.2,0.292,0.287,,,,,,,,,,,,,,
2-Methyl-1-butene-3-yne,,492,43.8,0.248,0.137,,,,,,,,,,,,,,
Methylbutyl ether,,512.74,33.71,0.329,0.313,,,,,,,,,,,,,,
Methylbutyl sulfide,,593,34.7,0.36,0.3229,,,,,,,,,,,,,,
3-Methyl-1-butyne,,463.2,42,0.275,0.3081,,,,,,,,,,,,,,
Methyl butyrate,,554.5,34.73,0.34,0.3775,,,,,,,,,,,,,,
Methylchlorosilane,,442,41.7,0.246,0.2252,,,,,,,,,,,,,,
Methylcyclohexane,,572.1,34.8,0.369,0.2361,,,,,,,,,,,,,,
1-Methylcyclohexanol,,686,40,0.374,0.2213,,,,,,,,,,,,,,
cis-2-Methylcyclohexanol,,614,37.9,0.374,0.6805,,,,,,,,,,,,,,
trans-2-Methylcyclohexanol,,617,37.9,0.374,0.679,,,,,,,,,,,,,,
Methylcyclopentane,,532.7,37.9,0.319,0.2288,,,,,,,,,,,,,,
1-Methylcyclopentene,,542,41.3,0.303,0.2318,,,,,,,,,,,,,,
3-Methylcyclopentene,,526,41.3,0.303,0.2296,,,,,,,,,,,,,,
Methyldichlorosilane,,483,39.5,0.289,0.2758,,,,,,,,,,,,,,
Methylethyl ether,,437.8,44,0.221,0.2314,,,,,,,,,,,,,,
Methylethyl ketone,,535.5,41.5,0.267,0.3234,,,,,,,,,,,,,,
Methylethyl sulfide,,533,42.6,0.254,0.2091,,,,,,,,,,,,,,
Methyl formate,,487.2,60,0.172,0.2556,,,,,,,,,,,,,,
Methylisobutyl ether,,497,34.1,0.329,0.3078,,,,,,,,,,,,,,
Methylisobutyl ketone,,574.6,32.7,0.369,0.3557,,,,,,,,,,,,,,
Methyl Isocyanate,,488,54.8,0.202,0.3007,,,,,,,,,,,,,,
Methylisopropyl ether,,464.48,37.62,0.276,0.2656,,,,,,,,,,,,,,
Methylisopropyl ketone,,553.4,38,0.31,0.3208,,,,,,,,,,,,,,
Methylisopropyl sulfide,,553.1,40.21,0.328,0.2461,,,,,,,,,,,,,,
Methyl mercaptan,,469.95,72.3,0.145,0.1582,,,,,,,,,,,,,,
Methyl methacrylate,,566,36.8,0.323,0.2802,,,,,,,,,,,,,,
2-Methyloctanoic acid,,694,25.4,0.572,0.7913,,,,,,,,,,,,,,
2-Methylpentane,,497.7,30.4,0.368,0.2791,0.086,-174550,142220,-47.83,0.739,0,0,1,90300,380100,1602,245300,691.6,1
Methyl pentyl ether,,546.49,30.42,0.38,0.3442,,,,,,,,,,,,,,
2-Methylpropane,"C4H10,isobutane,ibutane",407.8,36.4,0.259,0.1835,0.058,-134990,172370,-1783.9,14.759,-0.047909,0.00005805,1,65490,247760,1587,157500,706.99,1
2-Methyl-2-propanol,,506.2,39.72,0.275,0.6152,,,,,,,,,,,,,,
2-Methyl propene,"C4H8,isobutene,ibutene",417.9,40,0.239,0.1948,,,,,,,,,,,,,,
Methyl propionate,,530.6,40.04,0.282,0.3466,,,,,,,,,,,,,,
Methylpropyl ether,,476.25,38.01,0.276,0.277,,,,,,,,,,,,,,
Methylpropyl sulfide,,565,39.7,0.307,0.2737,,,,,,,,,,,,,,
Methylsilane,,352.5,47,0.205,0.1314,,,,,,,,,,,,,,
alpha-Methyl styrene,,654,33.6,0.399,0.323,,,,,,,,,,,,,,
Methyl tert-butyl ether,,497.1,32.87,0.314,0.2466,0.088,-283200,134300,94.356,-0.0032,0.0009795,0,1,97790,309100,1643,209900,731.191,1
Methyl vinyl ether,,437,46.7,0.21,0.2416,,,,,,,,,,,,,,
Naphthalene,,748.4,40.5,0.407,0.302,,,,,,,,,,,,,,
